IE_NAME;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
Aero Neon-0025;aero_neon_0025;Aero series;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;Aero;Inscriptions;21;Lucky Rose;WD-TF-A-0025;200;;;1,99;USD
Aero-0026;aero_0026;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;14;Lucky Rose;WD-TF-A-0026;200;;;1,99;USD
Aero-0027;aero_0027;Aero series;Colorful;Seosons;A thin transparent film of 8-10 microns.;Aero;Seosons;30;Lucky Rose;WD-TF-A-0027;200;;;1,99;USD
Aero-0028;aero_0028;Aero series;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;30;Lucky Rose;WD-TF-A-0028;200;;;1,99;USD
Black-0001;black_0001;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0001;200;;;1,99;USD
Black-0002;black_0002;Black series;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;WD-TF-B-0002;200;;;1,99;USD
Black-0003;black_0003;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0003;200;;;1,99;USD
Black-0004;black_0004;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0004;200;;;1,99;USD
Black-0005;black_0005;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0005;200;;;1,99;USD
Black-0006;black_0006;Black series;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0006;200;;;1,99;USD
Black-0007;black_0007;Black series;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;21;Lucky Rose;WD-TF-B-0007;200;;;1,99;USD
Black-0008;black_0008;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0008;200;;;1,99;USD
Black-0009;black_0009;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0009;200;;;1,99;USD
Black-0010;black_0010;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0010;200;;;1,99;USD
Black-0011;black_0011;Black series;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;WD-TF-B-0011;200;;;1,99;USD
Black-0012;black_0012;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;14;Lucky Rose;WD-TF-B-0012;200;;;1,99;USD
Black-0013;black_0013;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0013;200;;;1,99;USD
Black-0014;black_0014;Black series;Black;Seosons;A thin transparent film of 8-10 microns.;Black;Seosons;30;Lucky Rose;WD-TF-B-0014;200;;;1,99;USD
Black-0015;black_0015;Black series;Black;Heroes;A thin transparent film of 8-10 microns.;Black;Heroes;30;Lucky Rose;WD-TF-B-0015;200;;;1,99;USD
Black-0016;black_0016;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0016;200;;;1,99;USD
Black-0017;black_0017;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0017;200;;;1,99;USD
Black-0018;black_0018;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0018;200;;;1,99;USD
Black-0019;black_0019;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0019;200;;;1,99;USD
Black-0020;black_0020;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0020;200;;;1,99;USD
Black-0021;black_0021;Black series;Black;Pattern;A thin transparent film of 8-10 microns.;Black;Pattern;14;Lucky Rose;WD-TF-B-0021;200;;;1,99;USD
Black-0022;black_0022;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0022;200;;;1,99;USD
Black-0023;black_0023;Black series;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;21;Lucky Rose;WD-TF-B-0023;200;;;1,99;USD
Black-0024;black_0024;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0024;200;;;1,99;USD
Black-0025;black_0025;Black series;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;14;Lucky Rose;WD-TF-B-0025;200;;;1,99;USD
Black-0026;black_0026;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0026;200;;;1,99;USD
Black-0027;black_0027;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0027;200;;;1,99;USD
Black-0028;black_0028;Black series;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0028;200;;;1,99;USD
Black-0029;black_0029;Black series;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0029;200;;;1,99;USD
Black-0030;black_0030;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0030;200;;;1,99;USD
Black-0031;black_0031;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0031;200;;;1,99;USD
Black-0032;black_0032;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0032;200;;;1,99;USD
Black-0033;black_0033;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0033;200;;;1,99;USD
Black-0034;black_0034;Black series;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0034;200;;;1,99;USD
Black-0035;black_0035;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0035;200;;;1,99;USD
Black-0036;black_0036;Black series;Black;Thematic;A thin transparent film of 8-10 microns.;Black;Thematic;30;Lucky Rose;WD-TF-B-0036;200;;;1,99;USD
Black-0037;black_0037;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0037;200;;;1,99;USD
Black-0038;black_0038;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0038;200;;;1,99;USD
Black-0039;black_0039;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0039;200;;;1,99;USD
Black-0040;black_0040;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0040;200;;;1,99;USD
