IE_NAME;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
F-0004;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0004;50;;;1,99;USD
F-0005;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0005;50;;;1,99;USD
F-0006;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;WD-TF-F-0006;50;;;1,99;USD
F-0007;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;WD-TF-F-0007;50;;;1,99;USD
F-0008;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;WD-TF-F-0008;50;;;1,99;USD
F-0009;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;WD-TF-F-0009;50;;;1,99;USD
F-0010;Colorful;Lace;A thin transparent film of 8-10 microns.;F;Lace;14;Lucky Rose;WD-TF-F-0010;50;;;1,99;USD
F-0011;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;WD-TF-F-0011;50;;;1,99;USD
F-0012;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;F;Inscriptions;14;Lucky Rose;WD-TF-F-0012;50;;;1,99;USD
F-0013;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0013;50;;;1,99;USD
F-0014;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0014;50;;;1,99;USD
F-0015;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0015;50;;;1,99;USD
F-0016;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;WD-TF-F-0016;50;;;1,99;USD
F-0017;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;WD-TF-F-0017;50;;;1,99;USD
F-0018;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0018;50;;;1,99;USD
F-0019;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;WD-TF-F-0019;50;;;1,99;USD
F-0020;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;WD-TF-F-0020;50;;;1,99;USD
F-0021;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;WD-TF-F-0021;50;;;1,99;USD
F-0022;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;WD-TF-F-0022;50;;;1,99;USD
F-0023;Colorful;People;A thin transparent film of 8-10 microns.;F;People;14;Lucky Rose;WD-TF-F-0023;50;;;1,99;USD
F-0024;Colorful;Mixed;A thin transparent film of 8-10 microns.;F;Mixed;21;Lucky Rose;WD-TF-F-0024;49;;;1,99;USD
F-0025;Colorful;Fruits;A thin transparent film of 8-10 microns.;F;Fruits;14;Lucky Rose;WD-TF-F-0025;50;;;1,99;USD
F-0026;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0026;50;;;1,99;USD
F-0027;Colorful;Butterfly;A thin transparent film of 8-10 microns.;F;Butterfly;14;Lucky Rose;WD-TF-F-0027;50;;;1,99;USD
F-0028;Colorful;Animals;A thin transparent film of 8-10 microns.;F;Animals;14;Lucky Rose;WD-TF-F-0028;50;;;1,99;USD
F-0029;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;WD-TF-F-0029;50;;;1,99;USD
F-0030;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;WD-TF-F-0030;50;;;1,99;USD
F-0031;Colorful;Mixed;A thin transparent film of 8-10 microns.;F;Mixed;14;Lucky Rose;WD-TF-F-0031;50;;;1,99;USD
F-0032;Colorful;Lace;A thin transparent film of 8-10 microns.;F;Lace;14;Lucky Rose;WD-TF-F-0032;50;;;1,99;USD
