IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
96;Black-0005;500;;;/upload/iblock/f31/f31fbfce7420fb5441fc56f9c0710ecf.jpg;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0005;;;;;;;;;;;;;;;;;;;Black series;;;1000;0;0;0;0;;;1.99;USD
98;White-0001;500;;;/upload/iblock/bb5/bb574906abd559e445ec2b79c34e60a0.jpg;White water decal on transparent film. Can be used on any background.;Popular;;White;Geometry;A thin transparent film of 8-10 microns.;White;Geometry;14;Lucky Rose;;;;WD-TF-W-0001;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;0.99;USD
99;White-0002;500;;;/upload/iblock/80f/80f362264da77521cfd55ca4eee51f97.jpg;White water decal on transparent film. Can be used on any background.;Popular;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0002;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;1.99;USD
100;White-0003;500;;;/upload/iblock/7f8/7f8934f4033d5ccc875f285c8181f965.jpg;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0003;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;1.99;USD
101;White-0004;500;;;/upload/iblock/23d/23de8d019c8ae188e3b57735881084cd.jpg;White water decal on transparent film. Can be used on any background.;;;White;Thematic;A thin transparent film of 8-10 microns.;White;Thematic;14;Lucky Rose;;;;WD-TF-W-0004;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;1.99;USD
102;White-0005;500;/upload/iblock/efc/efcee7a39af86a654975b044eaef1b85.jpg;;/upload/iblock/6de/6de2d7529363f88b0966001d4651c2ba.png;White water decal on transparent film. Can be used on any background.;;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0005;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;1.99;USD
103;White-0006;500;;;/upload/iblock/930/93023e404b4c60c38f5cf23ecb967784.jpg;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0006;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;1.99;USD
104;White-0007;500;;;/upload/iblock/a41/a41b37cf0ea487310684c4763cd0fd2f.jpg;White water decal on transparent film. Can be used on any background.;;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0007;;;;;;;;;;;;;;;;;;;White series;;;1000;0;0;0;0;;;1.99;USD
106;Coloring-0001;500;/upload/iblock/4ef/4ef50c137cb265a65acb39683fecae84.png;;/upload/iblock/8fe/8fe42a4c1621f4dc3ab15fde9ed1e525.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;;;;WD-TF-C-0001;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
107;Coloring-0002;500;/upload/iblock/0bb/0bb57e3b765f0a11250c13e6f0a1a07c.png;;/upload/iblock/89a/89a2a6be08faaba0736228a10eb0a18b.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;;;;WD-TF-C-0002;;;;;;;;;;;;;;;;;;;Stencils;;;1000;0;0;0;0;;;1.99;USD
