IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
100;White-0003;500;;;/upload/iblock/721/721cb07da3d8544e63192473cc06428c.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0003;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
101;White-0004;500;;;/upload/iblock/88b/88b02a405db4a980b6eab7f1f641e7b3.png;White water decal on transparent film. Can be used on any background.;;;White;Thematic;A thin transparent film of 8-10 microns.;White;Thematic;14;Lucky Rose;;;;WD-TF-W-0004;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
102;White-0005;500;;;/upload/iblock/956/9563299138f9be545d25f63c8cbb10b6.png;White water decal on transparent film. Can be used on any background.;;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0005;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
103;White-0006;500;;;/upload/iblock/227/2270e91f8b4ee5ec15cfc0bad7285704.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0006;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
104;White-0007;500;;;/upload/iblock/ca8/ca8c84aa2225d1071fb7b3f1016de035.png;White water decal on transparent film. Can be used on any background.;;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0007;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
106;Coloring-0001;500;/upload/iblock/397/3970005c05ff0b52a3be504e770109e7.png;;/upload/iblock/175/175e4bc3e39eee030ad3756848aa1fcb.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;;;;WD-TF-C-0001;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
107;Coloring-0002;500;/upload/iblock/6fa/6fae9d4d8d3229c86200536b8dbc271c.png;;/upload/iblock/755/7555db707aaac0a0e115ac77ba50b900.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;;;;WD-TF-C-0002;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
108;Coloring-0003;500;;;/upload/iblock/525/525c84534f66fff457bf6bd9ca901b34.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Pattern;A thin transparent film of 8-10 microns.;Coloring;Pattern;14;Lucky Rose;;;;WD-TF-C-0003;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
109;Coloring-0004;500;;;/upload/iblock/2c9/2c9d6df4c820c7c8f6c39be09950dc12.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Fruits;A thin transparent film of 8-10 microns.;Coloring;Fruits;14;Lucky Rose;;;;WD-TF-C-0004;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
110;Coloring-0005;500;;;/upload/iblock/cb2/cb24b29376d679fbebbe872e7f3f7ca2.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Floral;A thin transparent film of 8-10 microns.;Coloring;Floral;14;Lucky Rose;;;;WD-TF-C-0005;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
111;Coloring-0006;500;;;/upload/iblock/603/60327cbeeb7921d2b54385137c922f07.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Butterfly;A thin transparent film of 8-10 microns.;Coloring;Butterfly;14;Lucky Rose;;;;WD-TF-C-0006;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
112;Coloring-0007;500;;;/upload/iblock/071/0710118d8e32a4b8380dff71aecc652c.png;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Geometry;A thin transparent film of 8-10 microns.;Coloring;Geometry;14;Lucky Rose;;;;WD-TF-C-0007;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1.99;USD
130;Pedicure-0001;500;;;/upload/iblock/662/6629854af0df6cdc52b06a3090babef1.jpg;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0001;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
131;Pedicure-0002;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0002;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
132;Pedicure-0003;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Others;A thin transparent film of 8-10 microns.;Pedicure;Others;12;Lucky Rose;;;;WD-WF-P-0003;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
133;Pedicure-0004;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Others;A thin transparent film of 8-10 microns.;Pedicure;Others;12;Lucky Rose;;;;WD-WF-P-0004;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
134;Pedicure-0005;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0005;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
135;Pedicure-0006;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Thematic;A thin transparent film of 8-10 microns.;Pedicure;Thematic;12;Lucky Rose;;;;WD-WF-P-0006;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
136;Pedicure-0007;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0007;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1.99;USD
