IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP76;IP_PROP71;IP_PROP75;IP_PROP72;IP_PROP74;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP51;IP_PROP53;IP_PROP59;IP_PROP50;IP_PROP52;IP_PROP57;IP_PROP61;IP_PROP54;IP_PROP56;IP_PROP49;IP_PROP55;IP_PROP58;IP_PROP60;IP_PROP63;IP_PROP62;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2
108;Coloring-0003;108;Y;;;;;text;/upload/iblock/0c2/0c26740fc44d48bca72aa6b9408286a8.png;"Black water decal on transparent film. 
Can be used on any background.";text;0003_coloring;500;;;;Black;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Pattern;;;;WD-TF-C-0003;;;;;;;;;;;;;;;;;;;Stencils;;
109;Coloring-0004;109;Y;;;;;text;/upload/iblock/dc8/dc8ecc7444557a1498e9d77ab5d99171.png;"Black water decal on transparent film. 
Can be used on any background.";text;0004_coloring;500;;;;Black;Fruits;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Fruits;;;;WD-TF-C-0004;;;;;;;;;;;;;;;;;;;Stencils;;
110;Coloring-0005;110;Y;;;;;text;/upload/iblock/f71/f71f0c026e39d7b54344bf1471a1bb68.png;"Black water decal on transparent film. 
Can be used on any background.";text;0005_coloring;500;;;;Black;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Floral;;;;WD-TF-C-0005;;;;;;;;;;;;;;;;;;;Stencils;;
111;Coloring-0006;111;Y;;;;;text;/upload/iblock/12b/12b38322f312a3fbb931d44d0b7391d4.png;"Black water decal on transparent film. 
Can be used on any background.";text;0006_coloring;500;;;;Black;Butterfly;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Butterfly;;;;WD-TF-C-0006;;;;;;;;;;;;;;;;;;;Stencils;;
112;Coloring-0007;112;Y;;;;;text;/upload/iblock/c50/c50cffb0e2fb94eead7fc4f5d0ea5d31.png;"Black water decal on transparent film. 
Can be used on any background.";text;0007_coloring;500;;;;Black;Geometry;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Geometry;;;;WD-TF-C-0007;;;;;;;;;;;;;;;;;;;Stencils;;
130;Pedicure-0001;130;Y;;;;;text;/upload/iblock/531/5317be00540653fa53c76c0eb265027a.jpg;"Colorful water decal on transparent film. 
Can be used on any background.";text;pedicure_0001;500;;;;Colorful;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Floral;;;;WD-WF-P-0001;;;;;;;;;;;;;;;;;;;Pedicure;;
131;Pedicure-0002;131;Y;;;;;text;;"Colorful water decal on transparent film. 
Can be used on any background.";text;0002_pedicure;500;;;;Colorful;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Floral;;;;WD-WF-P-0002;;;;;;;;;;;;;;;;;;;Pedicure;;
132;Pedicure-0003;132;Y;;;;;text;;"Colorful water decal on transparent film. 
Can be used on any background.";text;0003_pedicure;500;;;;Colorful;Others;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Others;;;;WD-WF-P-0003;;;;;;;;;;;;;;;;;;;Pedicure;;
133;Pedicure-0004;133;Y;;;;;text;;"Colorful water decal on transparent film. 
Can be used on any background.";text;0004_pedicure;500;;;;Colorful;Others;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Others;;;;WD-WF-P-0004;;;;;;;;;;;;;;;;;;;Pedicure;;
134;Pedicure-0005;134;Y;;;;;text;;"Colorful water decal on transparent film. 
Can be used on any background.";text;0005_pedicure;500;;;;Colorful;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;12;Pedicure;Floral;;;;WD-WF-P-0005;;;;;;;;;;;;;;;;;;;Pedicure;;
