IE_NAME;IE_ID;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
3D slider-0022;;3d_slider_0022;3D slider;Colorful;Seosons;A thin transparent film of 8-10 microns.;3D slider;Seosons;30;Lucky Rose;WD-TF-3D-0022;200;;;1,99;USD
3D slider-0023;;3d_slider_0023;3D slider;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0023;200;;;1,99;USD
3D slider-0024;;3d_slider_0024;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0024;200;;;1,99;USD
3D slider-0025;;3d_slider_0025;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0025;200;;;1,99;USD
3D slider-0026;;3d_slider_0026;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0026;200;;;1,99;USD
3D slider-0027;;3d_slider_0027;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0027;200;;;1,99;USD
3D slider-0028;;3d_slider_0028;3D slider;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;21;Lucky Rose;WD-TF-3D-0028;200;;;1,99;USD
3D slider-0029;;3d_slider_0029;3D slider;Black-White;Lace;A thin transparent film of 8-10 microns.;3D slider;Lace;30;Lucky Rose;WD-TF-3D-0029;200;;;1,99;USD
3D slider-0030;;3d_slider_0030;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0030;200;;;1,99;USD
3D slider-0031;;3d_slider_0031;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0031;200;;;1,99;USD
3D slider-0032;;3d_slider_0032;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0032;200;;;1,99;USD
3D slider-0033;;3d_slider_0033;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0033;200;;;1,99;USD
3D slider-0034;;3d_slider_0034;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0034;200;;;1,99;USD
3D slider-0035;;3d_slider_0035;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;21;Lucky Rose;WD-TF-3D-0035;200;;;1,99;USD
3D slider-0036;;3d_slider_0036;3D slider;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;21;Lucky Rose;WD-TF-3D-0036;200;;;1,99;USD
3D slider-0037;;3d_slider_0037;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0037;200;;;1,99;USD
